State,HeartRate,HeartRateAvg,HeartRateMax
active,70.5,70.95,77.24
active,70.5,70.89,77.24
active,70.5,70.84,77.24
active,70.5,70.78,77.24
active,70.5,70.73,77.24
active,70.5,70.68,77.24
active,70.5,70.62,77.24
active,70.8,70.57,77.24
active,70.8,70.52,77.24
active,70.8,70.47,77.24
active,70.8,70.45,77.24
active,70.8,70.43,77.24
active,70.8,70.41,77.24
active,70.8,70.37,77.24
active,70.8,70.31,77.24
active,70.8,70.26,77.24
active,69.54,70.21,77.24
active,69.54,70.15,77.24
active,69.54,70.1,77.24
active,69.54,70.04,77.24
active,69.54,69.99,77.24
active,69.54,69.95,77.24
active,69.54,69.9,77.24
active,69.54,69.84,77.24
active,69.54,69.79,77.24
active,66.58,69.73,77.24
active,66.58,69.68,77.24
active,66.58,69.63,77.24
active,66.58,69.6,70.84
active,66.58,69.59,70.84
active,66.58,69.59,70.84
active,66.58,69.59,70.84
active,66.58,69.59,70.84
active,66.58,69.58,70.84
active,66.58,69.58,70.84
active,65.11,69.58,70.84
active,65.11,69.58,70.84
active,65.11,69.57,70.84
active,65.11,69.57,70.84
active,65.11,69.57,70.84
active,65.11,69.57,70.84
active,65.11,69.56,70.84
active,65.11,69.56,70.84
active,65.11,69.56,70.84
active,64.37,69.56,70.84
active,64.37,69.55,70.84
active,64.37,69.55,70.84
active,64.37,69.55,70.84
active,64.37,69.54,70.84
active,64.37,69.54,70.84
active,64.37,69.54,70.84
active,64.37,69.54,70.84
active,64.63,69.53,70.84
active,64.63,69.53,70.84
active,64.63,69.53,70.84
active,64.63,69.53,70.5
active,64.63,69.53,70.5
active,64.63,69.53,70.5
active,64.63,69.53,70.5
active,64.63,69.53,70.5
active,64.63,69.53,70.5
active,64.63,69.53,70.5
active,65.83,69.53,70.5
active,65.83,69.54,70.5
active,65.83,69.54,70.5
active,65.83,69.54,70.5
active,65.83,69.55,70.5
active,65.83,69.55,70.5
active,65.83,69.56,70.5
active,65.83,69.56,70.5
active,66.43,69.56,70.5
active,66.43,69.57,70.5
active,66.43,69.57,70.5
active,66.43,69.58,70.5
active,66.43,69.59,70.5
active,66.43,69.61,70.5
active,66.43,69.62,70.5
active,66.43,69.64,70.5
active,66.43,69.65,70.5
active,66.43,69.67,70.5
active,66.73,69.66,70.5
active,66.73,69.65,70.5
active,66.73,69.64,70.5
active,66.73,69.63,70.5
active,66.73,69.62,70.5
active,66.73,69.61,70.5
active,66.73,69.61,70.5
active,66.73,69.6,70.5
active,66.73,69.59,70.5
active,66.47,69.58,70.5
active,66.47,69.57,70.5
active,66.47,69.56,70.5
active,66.47,69.55,70.5
active,66.47,69.55,70.5
active,66.47,69.54,70.5
active,66.47,69.53,70.5
active,66.47,69.53,70.5
active,66.47,69.52,70.5
active,65.78,69.51,70.5
active,65.78,69.5,70.5
active,65.78,69.48,70.5
active,65.78,69.47,70.5
active,65.78,69.45,70.5
active,65.78,69.44,70.5
active,65.78,69.42,70.5
active,65.78,69.4,70.5
active,65.78,69.39,70.5
active,65.33,69.37,70.5
active,65.33,69.35,70.5
active,65.33,69.33,70.5
active,65.33,69.3,70.5
active,65.33,69.28,70.5
active,65.33,69.25,70.5
active,65.33,69.22,70.5
active,65.33,69.19,70.5
active,65.33,69.17,70.5
active,65.1,69.14,70.5
active,65.1,69.11,70.5
active,65.1,69.08,70.5
active,65.1,69.04,70.5
active,65.1,69.01,70.5
active,65.1,68.97,70.5
active,65.1,68.93,70.5
active,65.1,68.89,70.5
active,65.1,68.85,70.5
active,64.99,68.81,70.5
active,64.99,68.77,70.5
active,64.99,68.73,70.5
active,64.99,68.69,70.5
active,64.99,68.65,70.5
active,64.99,68.6,70.5
active,64.99,68.56,70.5
active,64.99,68.51,70.5
active,64.99,68.47,70.5
active,66.02,68.43,70.5
active,66.02,68.4,70.5
active,66.02,68.36,70.5
active,66.02,68.32,70.5
active,66.02,68.29,70.5
active,66.02,68.25,70.5
active,66.02,68.22,70.5
active,66.02,68.18,70.5
active,66.02,68.15,70.5
active,66.71,68.11,70.5
active,66.71,68.08,70.5
active,66.71,68.05,70.5
active,66.71,68.02,70.5
active,66.71,67.99,70.5
active,66.71,67.96,70.5
active,66.71,67.93,70.5
active,66.71,67.9,70.5
active,66.71,67.87,70.5
active,67.06,67.84,70.5
active,67.06,67.82,70.5
active,67.06,67.79,70.5
active,67.06,67.76,70.5
active,67.06,67.74,70.5
active,67.06,67.71,70.5
active,67.06,67.68,70.5
active,67.06,67.66,70.5
active,67.06,67.63,70.5
active,67.23,67.6,70.5
active,67.23,67.58,70.5
active,67.23,67.55,70.5
active,67.23,67.52,70.5
active,67.23,67.5,70.5
active,67.23,67.47,70.5
active,67.23,67.45,70.5
active,67.23,67.42,70.5
active,67.23,67.39,70.5
active,67.36,67.37,70.5
active,67.36,67.34,70.5
active,67.36,67.32,70.5
active,67.36,67.29,70.5
active,67.36,67.27,70.5
active,67.36,67.24,70.5
active,67.36,67.22,70.5
active,67.36,67.21,70.5
active,67.36,67.18,70.5
active,67.37,67.16,70.5
active,67.37,67.13,70.5
active,67.37,67.1,70.5
active,67.37,67.08,70.5
active,67.37,67.05,70.5
active,67.37,67.03,70.5
active,67.37,67,70.5
active,67.37,66.98,70.5
active,67.37,66.95,70.5
active,67.27,66.93,70.5
active,67.27,66.9,70.5
active,67.27,66.88,70.5
active,67.27,66.86,70.5
active,67.27,66.84,70.5
active,67.27,66.81,70.5
active,67.27,66.79,70.5
active,67.27,66.76,70.5
active,67.27,66.74,70.5
active,67.22,66.71,70.5
active,67.22,66.68,70.5
active,67.22,66.66,70.5
active,67.22,66.63,70.5
active,67.22,66.6,70.5
active,67.22,66.58,70.5
active,67.22,66.55,70.5
active,67.22,66.53,70.5
active,67.22,66.5,70.5
active,67.32,66.47,67.37
active,67.32,66.48,67.37
active,67.32,66.48,67.37
active,67.32,66.49,67.37
active,67.32,66.49,67.37
active,67.32,66.5,67.37
active,67.32,66.5,67.37
active,67.32,66.51,67.37
active,67.32,66.51,67.37
active,67.37,66.52,67.37
active,67.37,66.52,67.37
active,67.37,66.53,67.37
active,67.37,66.54,67.37
active,67.37,66.54,67.37
active,67.37,66.55,67.37
active,67.37,66.56,67.37
active,67.37,66.57,67.37
active,67.37,66.57,67.37
active,67.39,66.58,67.39
active,67.39,66.59,67.39
active,67.39,66.61,67.39
active,67.39,66.62,67.39
active,67.39,66.63,67.39
active,67.39,66.64,67.39
active,67.39,66.66,67.39
active,67.39,66.67,67.39
active,67.39,66.68,67.39
active,67.4,66.7,67.4
active,67.4,66.71,67.4
active,67.4,66.73,67.4
active,67.4,66.74,67.4
active,67.4,66.76,67.4
active,67.4,66.78,67.4
active,67.4,66.79,67.4
active,67.4,66.81,67.4
active,67.4,66.82,67.4
active,67.4,66.84,67.4
active,67.4,66.86,67.4
active,67.4,66.88,67.4
active,67.4,66.9,67.4
active,67.4,66.92,67.4
active,67.4,66.93,67.4
active,67.4,66.95,67.4
active,67.4,66.97,67.4
active,67.4,66.99,67.4
active,67.4,67.01,67.4
active,67.4,67.03,67.4
active,67.4,67.05,67.4
active,67.4,67.07,67.4
active,67.4,67.08,67.4
active,67.4,67.1,67.4
active,67.4,67.12,67.4
active,67.4,67.13,67.4
active,67.4,67.15,67.4
active,67.4,67.17,67.4
active,67.4,67.19,67.4
active,67.4,67.2,67.4
active,67.4,67.21,67.4
active,67.4,67.22,67.4
active,67.4,67.23,67.4
active,67.4,67.24,67.4
active,67.4,67.25,67.4
active,67.4,67.26,67.4
active,68.67,67.28,67.4
active,68.67,67.28,67.4
active,68.67,67.29,67.4
active,68.67,67.29,67.4
active,68.67,67.3,67.4
active,68.67,67.3,67.4
active,68.67,67.31,67.4
active,68.67,67.32,67.4
active,68.67,67.32,67.4
active,69.73,67.33,67.4
active,69.73,67.33,67.4
active,69.73,67.33,67.4
active,69.73,67.34,67.4
active,69.73,67.34,67.4
active,69.73,67.34,67.4
active,69.73,67.34,67.4
active,69.73,67.35,67.4
active,69.73,67.35,67.4
active,70.32,67.35,67.4
active,70.32,67.35,67.4
active,70.32,67.36,67.4
active,70.32,67.36,67.4
active,70.32,67.36,67.4
active,70.32,67.36,67.4
active,70.32,67.36,67.4
active,70.32,67.36,67.4
active,70.32,67.36,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.61,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.76,67.37,67.4
active,70.74,67.37,67.4
active,70.74,67.37,67.4
active,70.74,67.37,67.4
active,70.74,67.37,67.4
active,70.74,67.38,67.4
active,70.74,67.38,67.4
active,70.74,67.38,67.4
active,70.74,67.38,67.4
active,70.74,67.38,67.4
active,70.73,67.38,67.4
active,70.73,67.38,67.4
active,70.73,67.38,67.4
active,70.73,67.39,67.4
active,70.73,67.39,67.4
active,70.73,67.39,67.4
active,70.73,67.39,67.4
active,70.73,67.39,67.4
active,70.73,67.39,67.4
active,70.72,67.39,67.4
active,70.72,67.39,67.4
active,70.72,67.4,67.4
active,70.72,67.4,67.4
active,70.72,67.4,67.4
active,70.72,67.4,67.4
active,70.72,67.4,67.4
active,70.72,67.4,67.4
active,70.72,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,70.91,67.4,67.4
active,71.01,67.4,67.4
active,71.01,67.4,67.4
active,71.01,67.4,67.4
active,71.01,67.4,67.4
